text,intent,tone
"3.6/5 ⭐️ Fruity with vanilla notes

🍇 82S,18PS from Napa Valley

🍷 Appearance: clear; deep purple

👃🏻Nose: clean; medium intensity; fruity aromas of red fruit, black fruit (plum), oak (notes of vanilla, chocolate), herbs; developing

👅 Palate: dry; high acidity; high tannin; high alcohol (15.8%); full body; pronounced flavour intensity; flavours of alcohol, herbs (mint), mineral, casis, oak (vanilla); medium finish",taste_profile,neutral
"Nice wine, a bit lighter than a cab in a good way",quality_judgment,positive
"Good malbec flavour, hints of raspberry, mild tannin or oak compared to some others, would go well with liquorice. Can be enjoyed without food.",taste_profile,neutral
"Next bottle, previous corked. 84 Points, drink from 2022 until 2027. Deep ruby with small rims. Rustic nose of red berries and forest soil. Dry on the tongue with high acidity and loads of edgy tannins. Finishing up medium and very dry, wait and pray.",taste_profile,neutral
"This wine needs a long time to open up — I decanted for 1 hour but it was better after 2.  I enjoyed this wine, but I will not buy it again.  This is a “food wine”.  Smoked meat, blackberry, blueberry, bramble and barnyard aromas.  The funky barnyard seems to blow off after a while.  The nose is dense and complex.  Jammy blueberry, blackberry, black currant, blue raspberry and spice flavors.  Really nice fruity finish — the flavor coats your mouth and lingers for a while.  Highly alcoholic finish.",taste_profile,frustrated
"Was a bit dry and off when I opened the bottle. But after airing a bit it turned out great. Sangiovese like, unexpected from Greece, nicr!",quality_judgment,cheerful
Tastes like a light red with the very light rose flavor. Amazing wine!,quality_judgment,cheerful
"Dark, heavy, balanced, smooth, full fruit but not fruity or jammy. A real solid Syrah, nicely aged after 11 years.",taste_profile,positive
"Color: dark ruby with brown
Nose: mature at this point. I get plum and dark cherry, very mature. Cedar and chestnut. Raisin. Certainly minerals
Palate: tannins still kicking! Medium-high acidity but the wine is in balance though a bit muted perhaps. dark fruit compote and licorice. Minerals. Cigar box. Ink 
Finish: long with a little alcohol burn

What to say. Pignolo does age gracefully. Mature but still tannic, this was a beautiful match for herb steak and potatoes. I wish I had a young one to compare",taste_profile,cheerful
"It’s not just cherries.. There’s more to the picture! Some fine floral hints of geranium, lavender and a bit of vanilla layered over the expected ripe cherry note, which is perfectly mirrored to the palate, where freshness, roundness, soft tannins and its medium body make it a good companion for any everyday meal. Pleasant spicy kick on the finish where it comes out the 30% Zweigelt oak aged.",taste_profile,positive
Well matured powerhouse . Dark cherry raspberry flavors. Hints of oak,quality_judgment,positive
"This wine nicely amplifies all kinds of umami flavours. Enjoy with pairing food! 😋
👁️ medium purple
👃 wood, raspberry/blackberry jam, vanilla, pepper
👅 intense Oak, raspberry/blackberry/blueberry jam
Character: dry, more oak than tannins which are medium, smooth and little acidity, medium-full body, not that heavy in taste but 14vol%
🏁 Medium-long
🍽️ Steak 🥩, lasagne with 🍅 & bacon 🥓, also anchovies",taste_profile,cheerful
"Founded in 1986. Fresh and lively expression of Tempranillo. Juicy and fruity. 3 months in oak barrel. Balanced, rounded and delicious",misc,cheerful
"Ashtray and sweaty spice on the nose. Austere stale bread, overcooked chicken, and unripe red apple. Acidic, light bodied, good tannic structure. I’m not sure if age will help. Skip this one.",taste_profile,negative
"I'd say nop nop nop. Blackberry and tobacco if you wanna try but you can also smoke and eat the fruit, it will be better. Not my cup of tea errrrr wine.",taste_profile,frustrated
Could actually taste and smell the capsicum... surprised y self... could have been suggestive... soft leather dark plum... thick and lingering... surprisingly good wa wine.... good memories of window hopping and hillbilly elegy...,quality_judgment,neutral
"This is a very nice Chianti Classico, with cherries and a bit of funk!",quality_judgment,cheerful
Nice sparkling wine. Dukes birthday in Tuscany,quality_judgment,positive
Good for $5.99,price_comment,neutral
"Pinot Blanc, Chardonnay, Sauvignon Blanc",misc,neutral
"Smoke, white pepper and truffle on the nose, a lot more depth that the light colour would have you believe. Tart cranberry, anise and a wood chip earthiness to the flavours. Dry, light tannins, packs more of a punch towards the front with a light finish.",taste_profile,neutral
Pairs well with chorizo & cheese,pairing_suggestion,neutral
"Lovely, creamy and biscuits nose with yellow apple and some stone fruit. The palate is crispy, and has a surprising floral touch to it. The cream comes through but not as strongly as on the nose. There is plenty of yellow apple, with a touch of raspberry. Fine mousse, long and complex finish. Excellent wine. Disgorged in 2018.",taste_profile,positive
Good nose easy drink red berries low tannin. Enjoyed it at JX BUCKLEY,taste_profile,cheerful
Sweet and slightly sparkly. Can drink alone or with dinner.,taste_profile,neutral
"Pauillac Grand Cru Classé 
Pauillac France 🇫🇷 
-------PAUILLAC-------
         ⭐️ ⭐️ ⭐️ ⭐️
Vintage 2015 this bottle of wine is 4 years old 
* 		Type Red Wine 🍷 from red grapes 🍇 
* 		Producer Moulin des Carruades
* 		Varietal Red Bordeaux Blend
* 		Designation n/a
* 		Vineyard n/a
* 		Country France 🇫🇷 
* 		Region Bordeaux
* 		SubRegion Médoc
* 		Appellation",quality_judgment,positive
"A year ago I had, today much better than last year..  And more earthy. 😘😘😘😘🍷🍷🍷",quality_judgment,cheerful
cherry red fruit Korean food,misc,neutral
"I mean, I'm not finding anything wrong with it. If it were the only red I'd ever drink again, I'd be ok with that. It was even good a few days later cold and with flaming hot baked lays🤷🏻‍♀️",quality_judgment,neutral
"#vince wine show #budapest#2019 #hungary # 10yearchallange  , very structured, and very well made, elegant and soft on the palate",quality_judgment,positive
"3,9 for this delicious champagne.

Scent: Medium plus intensity. Tangerine zest, yeast, sourdough, rubber, bitter almond, oxidised apples and a nice minerality.  

Looks: Light yellow.  

Mouthfeel: Dry. Dosage equals eight grams of sugar per litre, which I think brings good structure and balance. ABV is 12%. High acidity. Good for being a non-vintage.  

Grape varieties: 45% Chardonnay, 45% Pinot Noir and 10% ""Pinot"" Meunier. Maturation on its lees for three years. Malolactic fermentation has been avoided.",taste_profile,neutral
